"RiverOutfitterName","ROL_ID","ROL_ID_Flag","BusinessEntity_ID","BusinessEntity_ID_Flag","GNIS_Name_CSV","GNIS_Name_CSV_Flag","GNIS_ID_CSV","GNIS_ID_CSV_Flag","Business_Address","Business_Municipality","State","Business_ZipCode","Municipality_DOLA_LG_ID","Municipality_DOLA_LG_ID_Flag","Latitude","Longitude","Lat_Long_Flag","Formation_Date","Formation_Date_Flag","Website","Website_Flag","CROA_Member","Comments"
"Crested Butte Angler, LLC",460,G,20081554205,G,,x,,x,264 Cascadilla,Crested Butte,CO,81224,26004,G,38.809935,-106.888366,g1,2008-10-20 00:00:00,G,,x,x,
Crystal Fly Shop,418,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Cutthroat Anglers, LLC.",490,G,19991040428,G,,x,,x,400 Blue River Pkwy,Silverthorne,CO,80498,59018,G,39.632917,-106.073710,g1,1999-03-03 00:00:00,G,,x,x,
"Cutty Creek, LLC.",519,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Deer Hill, Inc.",128,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Desert White Water, Inc",289,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Devil's Thumb Ranch,315,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Dinosaur River Expeditions, LLC.",524,G,20131072991,G,,x,,x,2279 N Vernal Ave,Vernal,UT,84078,,N,40.489212,-109.529689,g1,2013-02-01 00:00:00,G,,x,x,
"Don Hatch River Expeditions, Inc.",010,G,19901020740,G,,x,,x,221 North 400 East,Vernal,UT,84078,,N,40.060638,-111.669033,g1,1990-03-26 00:00:00,G,,x,x,
"Downstream Adventures, LLC.",547,G,20141588293,G,"Clear Creek, Colorado River",G,"00181805, 00045730 ",G,107 County Rd 308,Idaho Springs,CO,80436,10008,G,39.764740,-105.596955,g1,2014-09-25 00:00:00,G,http://www.raftcoloradowhitewater.com/,G,Y,
"The Drift Fly Shop, LLC.",578,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Duranglers, Inc.",200,G,19901008827,G,,x,,x,923 Main Ave,Durango,CO,81301,34008,G,37.273880,-107.880668,g1,1990-02-16 00:00:00,G,,x,x,
"Durango Rivertrippers, LLC.",532,G,20131263231,G,,x,,x,724 Main Ave,Durango,CO,81301,34008,G,37.271544,-107.881188,g1,2013-04-27 00:00:00,G,,x,x,
"Dvorak's Parkdale River Center, Inc.",386,G,20031157497,G,,x,,x,17921 US Hwy 285,Nathrop,CO,81236,,N,38.679034,-106.094072,g1,2003-05-14 00:00:00,G,,x,x,
EGSD Adventure Education,557,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"E.R.T.T., Inc.",099,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
